job_title,level_job,job_type,annual_salary_usd,benefits,onsite_remote,category_job,company,location,skills,country,region
Freelance AI Content Creator,N/A,Freelance,25000.0,,remote,,,Remote,"AI content, Anyword, Marketmuse, Research, Wordtune",,
Freelance AI Video Producer Creator,N/A,Freelance,25000.0,,remote,,,Remote,"AI video, Pictory, Research",,
AI Application Developer,N/A,Freelance,25000.0,,remote,,,Remote,"Chatbots, ChatGPT, GPT, Research",,
Freelance AI Artist Creator,N/A,Freelance,25000.0,,remote,,,Remote,"AI art, DALL-E, Midjourney, Research, Stable Diffusion",,
AI Writing Creator,N/A,Freelance,25000.0,,remote,,,Remote,"Copywriting, Prompt engineering, Research, UX",,
Remote AI/ML Engineer in Wildlife Conservation,Mid,Contract,27500.0,"Career development,Health care",remote,,, US,"APIs, Classification, Data management, GitHub, Keras, Machine Learning, ML models",,
AI/ML-powered Trading Strategy Researcher (and Implementer),Senior,Full Time,150000.0,,remote,,,Remote,"Finance, Machine Learning, Python, Research, Trading Strategies",,
Principal Data Engineer,Senior,Full Time,200000.0,Equity,remote,,, US,"Agile, Architecture, Athena, AWS, Big Data, CI/CD, Data governance",,
MLOps Engineer,Mid,Full Time,129000.0,"Career development,Competitive pay,Flex hours,Flex vacation,Health care",remote,,, EU and US,"Architecture, CI/CD, Computer Science, Computer Vision, Data pipelines, Deep Learning, DevOps",,
AI Developer,Senior,Full Time,84000.0,"Career development,Flex hours,Startup environment",onsite,,,Ukraine,"Caffe, Computer Science, Computer Vision, Deep Learning, Keras, Machine Learning, ML models",Ukraine,World
Machine Learning Engineer,Mid,Full Time,,,onsite,,, Spain,"AWS, Azure, Blockchain, Crypto, Deep Learning, Docker, GCP",Spain,World
Senior Master Data Engineer,Senior,Full Time,147500.0,"401(k) matching,Career development,Flex hours,Flex vacation,Health care",onsite,,, United States,"APIs, CX, Data management, Data quality, Machine Learning, Microservices",United States,World
Data Engineer (Python),Senior,Full Time,147500.0,,onsite,,, Mexico,"APIs, Azure, Big Data, Computer Science, Data analysis, Databricks, Data visualization",Mexico,Latin America
Director Data Scientist - Commercial Platforms (P2474).,Executive,Full Time,221500.0,"Career development,Competitive pay,Health care,Medical leave,Parental leave",onsite,,, CA,"Azure, Computer Science, Economics, Finance, Machine Learning, Mathematics, NLP",,
Sustainable Farming Data Manager,Senior,Full Time,105500.0,"Career development,Equity,Flex hours",onsite,,, Switzerland,"Data analysis, Data management, Data strategy, KPIs, R, R&D, Security",Switzerland,World
"Principal Machine Learning Engineer, New Initiatives",Senior,Full Time,166000.0,,remote,,, Canada,"Architecture, Caffe, Computer Science, Computer Vision, Deep Learning, Engineering, LLMs",Canada,World
Analytics Engineering Intern - Transforming Data and Empowering Decisions (remote or in-person),Entry,Internship,,,remote,,,Remote,"AWS, Business Analytics, Computer Science, Data analysis, Data Analytics, DataOps, Engineering",,
Data Analyst,N/A,Full Time,102500.0,"Competitive pay,Equity,Flex vacation,Health care,Wellness",onsite,,, United States,"CX, Excel, Mathematics, Oracle, Power BI, Privacy, Python",United States,World
"Staff Data Scientist, Revenue Acceleration - Marketing (Remote, Americas)",Senior,Full Time,157000.0,Career development,remote,,, United States,"A/B testing, Consulting, Data pipelines, Engineering, ETL, KPIs, Machine Learning",United States,World
"Data Developer, Product Analytics",N/A,Full Time,90000.0,"Career development,Equity,Health care",onsite,,,Canada,"AWS, Azure, Big Data, Business Intelligence, Computer Science, Data quality, Data visualization",Canada,World
DATA SCIENTIST (M/F/D),Senior,Full Time,157000.0,,onsite,,, Portugal,"AWS, Azure, Big Data, Data Mining, Machine Learning, Oracle, Python",Portugal,World
Data Engineer (Melbourne),Mid,Full Time,96500.0,"Career development,Startup environment",onsite,,, Australia,"Agile, Ansible, Architecture, Avro, AWS, Bitbucket, CI/CD",Australia,World
Machine Learning Engineer,Entry,Full Time,69000.0,"Career development,Health care",onsite,,, United States,"Computer Science, Deep Learning, Engineering, Machine Learning, Mathematics, Physics, Python",United States,World
Senior Data Engineer,Senior,Full Time,147500.0,"Equity,Health care,Insurance,Salary bonus,Startup environment",onsite,,, United States,"Agile, Airflow, AWS, Azure, Data pipelines, Data quality, Data warehouse",United States,World
Senior Machine Learning Engineer,Senior,Full Time,166000.0,"Career development,Competitive pay,Flex hours,Flex vacation,Health care",onsite,,,Santiago,"Agile, AWS, Azure, Classification, Computer Science, Computer Vision, Deep Learning",,
"Data Analyst (Bangkok Based, Relocation Provided)",Mid,Full Time,98500.0,Career development,onsite,,,Bangkok,"A/B testing, Banking, Business Intelligence, Computer Science, Consulting, Data analysis, Data Analytics",,
Junior Insight Analyst,Entry,Full Time,56000.0,,onsite,,, Hungary,"Business Intelligence, Economics, Excel, Genetics, Power BI",Hungary,World
"Software Engineer, Machine Learning - Kyiv",Senior,Full Time,80000.0,"Career development,Health care,Parental leave,Startup environment",onsite,,,Ukraine Anywhere,"Computer Science, Data analysis, Keras, Machine Learning, ML models, MXNet, Pipelines",Ukraine,World
ETL Developer - SSIS,Senior,Full Time,156500.0,"Fitness / gym,Health care,Insurance,Medical leave",onsite,,, United Kingdom,"Azure, Business Intelligence, Data analysis, ETL, Excel, Genetics, Python",United Kingdom,World
"Fraud Data Analyst, Fraud Platform Integrity",Senior,Full Time,111000.0,"Career development,Competitive pay,Health care,Insurance",onsite,,, Frisco,"A/B testing, Banking, Data analysis, Economics, Engineering, Finance, FinTech",,
Open - Data Analyst (McDonal's - CRM Related),Senior,Full Time,111000.0,,onsite,,, Japan,"A/B testing, Data analysis, Data Analytics, Excel, Machine Learning, Power BI, Python",Japan,World
Machine Learning Engineer,Senior,Full Time,166000.0,"Career development,Competitive pay,Flex hours,Flex vacation,Health care",onsite,,,Santiago,"Agile, AWS, Azure, Classification, Computer Science, Computer Vision, Deep Learning",,
Data Analyst,Entry,Full Time,53000.0,"Career development,Flex hours,Flex vacation,Health care",onsite,,, India,"DataOps, Data quality, Excel, Jira, SQL",India,World
Data Specialist (Engineering & Analytics) - FinTech,Entry,Full Time,109000.0,"Career development,Flex hours,Flex vacation,Parental leave,Salary bonus",onsite,,, Switzerland,"Computer Science, Data analysis, Data Mining, Data quality, Engineering, ETL, Excel",Switzerland,World
RNA Structural Biologist / Computational Bioinformatician,Mid,Full Time,65000.0,"Career development,Startup environment",remote,,, Remote,"AWS, Biology, Data analysis, Drug discovery, Engineering, GCP, Perl",,
Machine Learning Engineer,Senior,Full Time,166000.0,Career development,onsite,,, Virginia,"Agile, Computer Science, Data Analytics, Deep Learning, Engineering, Machine Learning, Model deployment",,
[VSN] Data Engineer (Python/C#/Java),Mid,Full Time,96500.0,"Career development,Startup environment",onsite,,, Argentina,"Cassandra, Data pipelines, Data quality, Engineering, ETL, Kafka, MongoDB",Argentina,Latin America
Motion Planning Engineer - Autonomy Expansion,Senior,Full Time,166000.0,"401(k) matching,Career development,Equity,Health care,Salary bonus",remote,,,Remote,"Computer Science, Data analysis, Engineering, Industrial, Linux, Python, Robotics",,
Senior Data Analyst,Senior,Full Time,111000.0,"Competitive pay,Equity",onsite,,, United Arab Emirates,"Business Intelligence, Computer Science, Data analysis, Data visualization, Engineering, Finance, Mathematics",United Arab Emirates,World
Lead Data Scientist - multiple domains,Senior,Full Time,157000.0,"Equity,Flex vacation,Home office stipend,Relocation support",onsite,,, Germany,"Helm, Machine Learning, Prototyping, Statistics",Germany,World
Data Engineer,Senior,Full Time,147500.0,"Equity,Health care,Insurance,Salary bonus,Startup environment",onsite,,, United States,"Agile, AWS, Azure, Data pipelines, Data quality, Data warehouse, Data Warehousing",United States,World
Data Scientist - Personalisation,Senior,Full Time,157000.0,"Career development,Flex hours,Health care,Insurance",onsite,,, Portugal,"Big Data, CX, Deep Learning, E-commerce, Engineering, Git, Machine Learning",Portugal,World
Research Engineer - Core Research,Senior,Full Time,164000.0,"Career development,Equity,Flex hours,Flex vacation,Health care",onsite,,, United States,"APIs, Computer Science, Distributed Systems, Engineering, Genetics, Open Source, Prototyping",United States,World
Administrateur Big Data,N/A,Full Time,90000.0,,onsite,,, Canada,"Agile, Ansible, Big Data, Blockchain, Consulting, Finance, Hadoop",Canada,World
Software Engineer (Scala) - Data&AI,Senior,Full Time,88500.0,,onsite,,, Poland,"Airflow, Big Data, BigQuery, Dataflow, Data governance, Dataproc, Data quality",Poland,World
Sr. Data Scientist,Senior,Full Time,137500.0,"Career development,Salary bonus",remote,,,Remote,"Airflow, Big Data, Computer Science, Data management, Data pipelines, Data quality, Docker",,
Senior Data Engineer,Senior,Full Time,163000.0,"Career development,Equity,Flex hours,Flex vacation,Health care",remote,,, Remote,"Architecture, AWS, Big Data, Classification, Data visualization, Data Warehousing, Engineering",,
Analyst - Data Science,N/A,Full Time,71500.0,,onsite,,, India,"Architecture, Blockchain, Computer Science, Docker, Kubernetes, Linux, Open Source",India,World
Data Scientist / Biostatistician,Mid,Full Time,88000.0,Career development,remote,,, Remote,"Biology, Data analysis, Drug discovery, PhD, Pipelines, Python, R",,
"Senior Manager, Data Engineering",Senior,Full Time,147500.0,"Equity,Health care,Insurance,Salary bonus,Startup environment",onsite,,, United States,"Agile, Airflow, Architecture, AWS, Azure, Data governance, Data pipelines",United States,World
"Staff Software Engineer, AI",Senior,Full Time,44500.0,"Competitive pay,Equity,Startup environment",remote,,, EMEA,"CX, Engineering, Finance, Machine Learning, Research",,
Senior Data Scientist - Team Lead,Senior,Full Time,157000.0,"Career development,Competitive pay,Relocation support,Salary bonus",onsite,,, Greece,"Azure, Classification, Computer Science, Databricks, Deep Learning, EDA, Engineering",Greece,World
Staff Data Scientist,Senior,Full Time,208500.0,"Competitive pay,Health care,Insurance",remote,,,,"Architecture, Computer Science, Credit risk, Data analysis, Data pipelines, Engineering, Finance",,
Data Scientist Intern,Entry,Internship,,"Career development,Competitive pay,Equity,Health care,Startup environment",onsite,,, United States,"Agile, Architecture, AWS, Azure, Classification, Computer Science, Deep Learning",United States,World
Associate Data Analyst,Mid,Full Time,64000.0,"401(k) matching,Career development,Competitive pay,Equity,Health care",remote,,,Remote,"Computer Science, Data analysis, Looker, Research, SQL, T-SQL",,
Senior Engineer (Data Engineer),Senior,Full Time,147500.0,"Career development,Flex hours,Wellness",onsite,,, India,"Agile, APIs, Architecture, Azure, Bitbucket, Business Intelligence, CI/CD",India,World
Lead Data engineer,Mid,Full Time,131500.0,Career development,onsite,,, Australia,"Azure, Consulting, Databricks, Data pipelines, Data Warehousing, DevOps, Engineering",Australia,World
Area Manager Sales South (AI),Senior,Full Time,78500.0,,onsite,,, India,"Engineering, Industrial, Research, Security",India,World
Senior Autonomy Engineer - Integration,Senior,Full Time,196500.0,"401(k) matching,Career development,Equity,Flex hours,Health care",onsite,,, United States,"Architecture, Autonomous Driving, Engineering, Python, Robotics, Testing",United States,World
Data Analytics Intern,Entry,Internship,,,onsite,,, Singapore,"Computer Science, Data analysis, Data Analytics, Data management, Data visualization, Engineering, Excel",Singapore,World
Senior Data Engineer,Senior,Full Time,147500.0,"Career development,Health care",onsite,,, Israel,"Airflow, Athena, AWS, Big Data, Computer Science, CX, Engineering",Israel,World
"Senior Data Analyst (Bangkok Based, Relocation Provided)",Senior,Full Time,111000.0,Career development,onsite,,,Bangkok,"A/B testing, Banking, Business Intelligence, Computer Science, Consulting, Data analysis, Data Analytics",,
"Senior Data Scientist, Ads Experimentation Analytics",Senior,Full Time,229000.0,"401(k) matching,Career development,Equity,Flex vacation,Health care",remote,,, United States,"Bayesian, Causal inference, Computer Science, Economics, Finance, Mathematics, PhD",United States,World
"Director, Business, Technology Integration & Data Operations",Executive,Full Time,93000.0,"Career development,Flex hours,Health care,Startup environment,Wellness",onsite,,, India,"Agile, APIs, Architecture, Computer Science, Consulting, Data Analytics, Data governance",India,World
Staff Data Scientist,Senior,Full Time,253500.0,"Career development,Equity,Health care,Startup environment,Transparency",remote,,,Remote USA,"Computer Science, Data analysis, Economics, Engineering, Finance, Machine Learning, Mathematics",,
Cloud FinOps Data Analyst - Mercari,Mid,Full Time,98500.0,"Career development,Health care,Insurance,Relocation support",remote,,, Remote,"AWS, Data analysis, Data visualization, Engineering, Finance, GCP, Looker",,
Senior Data Engineer - OAO,Senior,Full Time,147500.0,Career development,remote,,, Mexico,"A/B testing, Agile, Big Data, Clustering, Computer Science, Data analysis, Data governance",Mexico,Latin America
Senior Data Scientist (Machine Learning),Senior,Full Time,198500.0,"Career development,Competitive pay,Health care,Insurance",remote,,,,"Clustering, Computer Science, Data analysis, Deep Learning, Engineering, Finance, FinTech",,
Senior Data Engineer,Senior,Full Time,245500.0,"Competitive pay,Equity,Health care,Salary bonus",onsite,,, WA,"CX, Data Analytics, Data visualization, Engineering, Looker, Power BI, Python",,
Staff Data Engineer (Remote),Senior,Full Time,147500.0,"Career development,Competitive pay,Flex vacation,Health care,Home office stipend",remote,,,Remote,"Architecture, Athena, AWS, Data pipelines, Data quality, Elasticsearch, Engineering",,
"Cybersecurity Engineer - Java , Big Data , HDFS, Spark, Kafka",Senior,Full Time,78500.0,,onsite,,, India,"Agile, Angular, APIs, AWS, Azure, Big Data, Data Analytics",India,World
Senior SMWDC Data Analytics Team Lead,Senior,Full Time,117500.0,"Career development,Competitive pay,Flex vacation,Health care,Insurance",onsite,,, United States,"Data Analytics, Excel, Security",United States,World
"Applied Scientist Intern, AWS Hybrid Tools",Entry,Full Time,157000.0,"Career development,Conferences,Equity",onsite,,, USA,"AWS, Computer Science, Computer Vision, Deep Learning, Engineering, Machine Learning, Matlab",,
